name,scores,mean_score
2022_09_12_12:45:52,"[0.6762989386344649, 0.7174484506721349, 0.6451646546527303]",0.6796373479864434
2022_09_12_16:53:46,"[0.7252344877344877, 0.6287797500379737, 0.6658634482750437]",0.6732925620158351
2022_09_12_18:59:10,"[0.658525308299157, 0.6375331528394851, 0.6257034780369484]",0.6405873130585301
2022_09_13_08:43:20,"[0.675935607247285, 0.6400165601029089, 0.65501443001443]",0.656988865788208
2022_09_13_09:40:01,"[0.6784312818029923, 0.6400165601029089, 0.65501443001443]",0.657820757306777
2022_09_13_17:16:08,"[0.6103784259417482, 0.5917567504224577, 0.6195532628920787]",0.6072294797520948
2022_11_02_18:06:16,"[0.7832742902306864, 0.6534167931856288, 0.6405661207744542]",0.6924190680635899
2022_11_07_18:15:15,"[0.6246265599709347, 0.6403373052916432, 0.5998726811226811]",0.6216121821284196
2022_11_07_20:34:40,"[0.6872560401475936, 0.6534167931856288, 0.6311307451932453]",0.6572678595088226
2022_11_07_21:44:56,"[0.6312926096476039, 0.6534167931856288, 0.5939733497025164]",0.626227584178583
2022_11_07_22:40:29,"[0.6643254372615336, 0.6534167931856288, 0.6589605636480637]",0.6589009313650753
2022_11_08_13:08:22,"[0.6643254372615336, 0.6534167931856288, 0.6589605636480637]",0.6589009313650753
2022_11_08_14:57:52,"[0.7712997286113094, 0.6418241441928656, 0.6363661144911145]",0.6831633290984298
2022_11_09_11:46:52,"[0.8174941826722522, 0.8397024331741798, 0.8236019298519299]",0.8269328485661207
2022_11_09_15:08:31,"[1.5921962261199951, 1.491194248199463, 1.657958984375]",1.5804498195648191
2022_11_09_16:47:02,"[1.5558253526687622, 1.431318759918213, 1.657958984375]",1.548367698987325
2022_11_09_18:26:12,"[1.6481918096542358, 1.4862953424453735, 1.6423603296279907]",1.5922824939092
2022_11_10_16:28:39,"[1.4915621280670166, 1.470874309539795, 1.478356122970581]",1.4802641868591309
2022_11_10_18:11:39,"[1.449029564857483, 1.4032586812973022, 1.4584863185882568]",1.4369248549143474
2022_11_22_15:48:34,"[1.4037511348724365, 1.428501844406128, 1.4292513132095337]",1.420501430829366
2022_11_22_17:53:44,"[1.432732105255127, 1.485750436782837, 1.4502876996994019]",1.4562567472457886
2022_11_23_10:00:08,"[1.591238021850586, 1.5573501586914062, 1.5698812007904053]",1.572823127110799
2022_11_23_11:31:00,"[1.473591923713684, 1.492350697517395, 1.5396597385406494]",1.501867453257243
2022_11_23_13:37:18,"[1.4926706552505493, 1.4174152612686157, 1.5063427686691284]",1.4721428950627644
2022_11_23_15:26:47,"[1.4914284944534302, 1.495766520500183, 1.4906131029129028]",1.4926027059555054
2022_11_23_17:48:20,"[1.462231993675232, 1.4654167890548706, 1.5620123147964478]",1.4965536991755168
2022_11_23_20:26:03,"[1.4631307125091553, 1.4292718172073364, 1.4782034158706665]",1.4568686485290527
2022_11_24_09:13:13,"[1.447340965270996, 1.4301925897598267, 1.5026201009750366]",1.46005121866862
2022_11_24_15:32:10,"[1.448536992073059, 1.48876953125, 1.3963204622268677]",1.4445423285166423
2022_11_24_17:25:15,"[1.5679566860198975, 1.5732461214065552, 1.5984389781951904]",1.5798805952072144
2022_11_25_09:01:50,"[1.5026419162750244, 1.4522967338562012, 1.3837634325027466]",1.4462340275446577
2022_11_25_12:08:25,"[1.324167013168335, 1.5398722887039185, 1.3525744676589966]",1.4055379231770833
